LJ033-0060|Marina Oswald testified that at that time, quote, My heart dropped.|Marina Oswald testified that at that time, quote, My heart dropped.
LJ033-0061|I then went to the garage to see whether the rifle was there and I saw that the blanket was still there and I said Thank God, end quote.|I then went to the garage to see whether the rifle was there and I saw that the blanket was still there and I said Thank God, end quote.
LJ033-0062|She did not unroll the blanket. She saw that it was in its usual position and it appeared to her to have something inside.|She did not unroll the blanket. She saw that it was in its usual position and it appeared to her to have something inside.
LJ033-0063|Soon afterward, at about 3 p.m., police officers arrived and searched the house.|Soon afterward, at about three p.m., police officers arrived and searched the house.
LJ033-0064|Mrs. Paine pointed out that most of the Oswalds' possessions were in the garage.|Mrs. Paine pointed out that most of the Oswalds' possessions were in the garage.
LJ033-0065|With Ruth Paine acting as an interpreter, Detective Rose asked Marina whether her husband had a rifle.|With Ruth Paine acting as an interpreter, Detective Rose asked Marina whether her husband had a rifle.
LJ033-0066|Mrs. Paine, who had no knowledge of the rifle, first said "No," but when the question was translated, Marina Oswald replied "Yes."|Mrs. Paine, who had no knowledge of the rifle, first said "No," but when the question was translated, Marina Oswald replied "Yes."
LJ033-0067|She pointed to the blanket which was on the floor very close to where Ruth Paine was standing.|She pointed to the blanket which was on the floor very close to where Ruth Paine was standing.
LJ033-0068|Mrs. Paine testified, quote,|Mrs. Paine testified, quote,
LJ033-0069|As she [Marina] told me about it I stepped onto the blanket roll|As she [Marina] told me about it I stepped onto the blanket roll
LJ033-0070|And she indicated to me that she had peered into this roll and saw a portion of what she took to be a gun she knew her husband to have, a rifle.|And she indicated to me that she had peered into this roll and saw a portion of what she took to be a gun she knew her husband to have, a rifle.
LJ033-0071|And I then translated this to the officers that she knew that her husband had a gun that he had stored in here.|And I then translated this to the officers that she knew that her husband had a gun that he had stored in here.
LJ033-0072|I then stepped off of it and the officer picked it up in the middle and it bent so.|I then stepped off of it and the officer picked it up in the middle and it bent so.
LJ033-0073|Mrs. Paine had the actual blanket before her as she testified and she indicated that the blanket hung limp in the officer's hand.|Mrs. Paine had the actual blanket before her as she testified and she indicated that the blanket hung limp in the officer's hand.
LJ033-0074|Marina Oswald testified that this was her first knowledge that the rifle was not in its accustomed place.|Marina Oswald testified that this was her first knowledge that the rifle was not in its accustomed place.
LJ033-0075|The Long and Bulky Package|The Long and Bulky Package
LJ033-0076|On the morning of November 22, 1963,|On the morning of November twenty-two, nineteen sixty-three,
LJ033-0077|Lee Harvey Oswald left the Paine house in Irving at approximately 7:15 a.m., while Marina Oswald was still in bed.|Lee Harvey Oswald left the Paine house in Irving at approximately seven:fifteen a.m., while Marina Oswald was still in bed.
LJ033-0078|Neither she nor Mrs. Paine saw him leave the house. About half-a-block away from the Paine house was the residence of Mrs. Linnie Mae Randle,|Neither she nor Mrs. Paine saw him leave the house. About half-a-block away from the Paine house was the residence of Mrs. Linnie Mae Randle,
LJ033-0079|sister of the man with whom Oswald drove to work -- Buell Wesley Frazier.|sister of the man with whom Oswald drove to work -- Buell Wesley Frazier.
LJ033-0080|Mrs. Randle stated that on the morning of November 22, while her brother was eating breakfast,|Mrs. Randle stated that on the morning of November twenty-two, while her brother was eating breakfast,
LJ033-0081|she looked out the breakfast-room window and saw Oswald cross the street and walk toward the driveway where her brother parked his car near the carport.|she looked out the breakfast-room window and saw Oswald cross the street and walk toward the driveway where her brother parked his car near the carport.
LJ033-0082|He carried a, quote, heavy brown bag, end quote.|He carried a, quote, heavy brown bag, end quote.
LJ033-0083|Oswald gripped the bag in his right hand near the top, quote, It tapered like this as he hugged it in his hand.|Oswald gripped the bag in his right hand near the top, quote, It tapered like this as he hugged it in his hand.
LJ033-0084|It was more bulky toward the bottom, end quote, than toward the top.|It was more bulky toward the bottom, end quote, than toward the top.
LJ033-0085|She then opened the kitchen door and saw Oswald open the right rear door of her brother's car and place the package in the back of the car.|She then opened the kitchen door and saw Oswald open the right rear door of her brother's car and place the package in the back of the car.
LJ033-0086|Mrs. Randle estimated that the package was approximately 28 inches long and about 8 inches wide.|Mrs. Randle estimated that the package was approximately twenty-eight inches long and about eight inches wide.
LJ033-0087|She thought that its color was similar to that of the bag found on the sixth floor of the School Book Depository after the assassination.|She thought that its color was similar to that of the bag found on the sixth floor of the School Book Depository after the assassination.
LJ033-0088|Frazier met Oswald at the kitchen door and together they walked to the car.|Frazier met Oswald at the kitchen door and together they walked to the car.
LJ033-0089|After entering the car, Frazier glanced over his shoulder and noticed a brown paper package on the back seat.|After entering the car, Frazier glanced over his shoulder and noticed a brown paper package on the back seat.
LJ033-0090|He asked, quote, What's the package, Lee? End quote. Oswald replied, quote, curtain rods, end quote.|He asked, quote, What's the package, Lee? End quote. Oswald replied, quote, curtain rods, end quote.
LJ033-0091|Frazier told the Commission, quote,|Frazier told the Commission, quote,
LJ033-0092|the main reason he was going over there that Thursday afternoon when he was to bring back some curtain rods, so I didn't think any more about it when he told me that, end quote,|the main reason he was going over there that Thursday afternoon when he was to bring back some curtain rods, so I didn't think any more about it when he told me that, end quote,
LJ033-0093|Frazier estimated that the bag was 2 feet long, quote, give and take a few inches, end quote, and about 5 or 6 inches wide.|Frazier estimated that the bag was two feet long, quote, give and take a few inches, end quote, and about five or six inches wide.
LJ033-0094|As they sat in the car, Frazier asked Oswald where his lunch was, and Oswald replied that he was going to buy his lunch that day.|As they sat in the car, Frazier asked Oswald where his lunch was, and Oswald replied that he was going to buy his lunch that day.
LJ033-0095|Frazier testified that Oswald carried no lunch bag that day.|Frazier testified that Oswald carried no lunch bag that day.
LJ033-0096|quote, when he rode with me, I say he always brought lunch except that one day on November 22 he didn't bring his lunch that day, end quote,|quote, when he rode with me, I say he always brought lunch except that one day on November twenty-two he didn't bring his lunch that day, end quote,
LJ033-0097|Frazier parked the car in the company parking lot about 2 blocks north of the Depository Building.|Frazier parked the car in the company parking lot about two blocks north of the Depository Building.
LJ033-0098|Oswald left the car first, picked up the brown paper bag, and proceeded toward the building ahead of Frazier.|Oswald left the car first, picked up the brown paper bag, and proceeded toward the building ahead of Frazier.
LJ033-0099|Frazier walked behind and as they crossed the railroad tracks he watched the switching of the cars.|Frazier walked behind and as they crossed the railroad tracks he watched the switching of the cars.
LJ033-0100|Frazier recalled that one end of the package was under Oswald's armpit and the lower part was held with his right hand|Frazier recalled that one end of the package was under Oswald's armpit and the lower part was held with his right hand
LJ033-0101|so that it was carried straight and parallel to his body.|so that it was carried straight and parallel to his body.
LJ033-0102|When Oswald entered the rear door of the Depository Building, he was about 50 feet ahead of Frazier.|When Oswald entered the rear door of the Depository Building, he was about fifty feet ahead of Frazier.
LJ033-0103|It was the first time that Oswald had not walked with Frazier from the parking lot to the building entrance.|It was the first time that Oswald had not walked with Frazier from the parking lot to the building entrance.
LJ033-0104|When Frazier entered the building, he did not see Oswald.|When Frazier entered the building, he did not see Oswald.
LJ033-0105|One employee, Jack Dougherty,|One employee, Jack Dougherty,
LJ033-0106|believed that he saw Oswald coming to work, but he does not remember that Oswald had anything in his hands as he entered the door.|believed that he saw Oswald coming to work, but he does not remember that Oswald had anything in his hands as he entered the door.
LJ033-0107|No other employee has been found who saw Oswald enter that morning.|No other employee has been found who saw Oswald enter that morning.
LJ033-0108|In deciding whether Oswald carried the assassination weapon in the bag which Frazier and Mrs. Randle saw,|In deciding whether Oswald carried the assassination weapon in the bag which Frazier and Mrs. Randle saw,
LJ033-0109|the Commission has carefully considered the testimony of these two witnesses with regard to the length of the bag.|the Commission has carefully considered the testimony of these two witnesses with regard to the length of the bag.
LJ033-0110|Frazier and Mrs. Randle testified|Frazier and Mrs. Randle testified
LJ033-0111|that the bag which Oswald was carrying was approximately 27 or 28 inches long, whereas the wooden stock of the rifle, which is its largest component,|that the bag which Oswald was carrying was approximately twenty-seven or twenty-eight inches long, whereas the wooden stock of the rifle, which is its largest component,
LJ033-0112|measured 34.8 inches.|measured thirty-four point eight inches.
LJ033-0113|The bag found on the sixth floor was 88 inches long.|The bag found on the sixth floor was eighty-eight inches long.
LJ033-0114|When Frazier appeared before the Commission and was asked to demonstrate how Oswald carried the package, he said, quote, Like I said,|When Frazier appeared before the Commission and was asked to demonstrate how Oswald carried the package, he said, quote, Like I said,
LJ033-0115|I remember that I didn't look at the package very much but when I did look at it he did have his hands on the package like that, end quote, and at this point|I remember that I didn't look at the package very much but when I did look at it he did have his hands on the package like that, end quote, and at this point
LJ033-0116|Frazier placed the upper part of the package under his armpit and attempted to cup his right hand beneath the bottom of the bag.|Frazier placed the upper part of the package under his armpit and attempted to cup his right hand beneath the bottom of the bag.
LJ033-0117|The disassembled rifle was too long to be carried in this manner.|The disassembled rifle was too long to be carried in this manner.
LJ033-0118|Similarly, when the butt of the rifle was placed in Frazier's hand, it extended above his shoulder to ear level.|Similarly, when the butt of the rifle was placed in Frazier's hand, it extended above his shoulder to ear level.
LJ033-0119|Moreover, in an interview on December 1, 1963, with agents of the FBI, Frazier had marked the point on the back seat of his car|Moreover, in an interview on December one, nineteen sixty-three, with agents of the FBI, Frazier had marked the point on the back seat of his car
LJ033-0120|which he believed was where the bag reached when it was laid on the seat with one edge against the door.|which he believed was where the bag reached when it was laid on the seat with one edge against the door.
LJ033-0121|The distance between the point on the seat and the door was 27 inches.|The distance between the point on the seat and the door was twenty-seven inches.
LJ033-0122|Mrs. Randle said, when shown the paper bag,|Mrs. Randle said, when shown the paper bag,
LJ033-0123|that the bag she saw Oswald carrying, quote, wasn't that long, I mean it was folded down at the top as I told you. It definitely wasn't that long, end quote,|that the bag she saw Oswald carrying, quote, wasn't that long, I mean it was folded down at the top as I told you. It definitely wasn't that long, end quote,
LJ033-0124|And she folded the bag to length of about 28 and a half inches.|And she folded the bag to length of about twenty-eight and a half inches.
LJ033-0125|Frazier doubted whether the bag that Oswald carried was as wide as the bag found on the sixth floor, although Mrs. Randle testified|Frazier doubted whether the bag that Oswald carried was as wide as the bag found on the sixth floor, although Mrs. Randle testified
LJ033-0126|that the width was approximately the same.|that the width was approximately the same.
LJ033-0127|The Commission has weighed the visual recollection of Frazier and Mrs. Randle against the evidence here presented|The Commission has weighed the visual recollection of Frazier and Mrs. Randle against the evidence here presented
LJ033-0128|that the bag Oswald carried contained the assassination weapon and has concluded that Frazier and Randle are mistaken as to the length of the bag.|that the bag Oswald carried contained the assassination weapon and has concluded that Frazier and Randle are mistaken as to the length of the bag.
